sentence,span,type,uri,relation,question,gold givenName
", Mrs. Mounsey Bartholomew, J. Barnby, H. Smart, G. A. Macfarren, Brinley Richard, H. S. Irons, Charles Salaman, Alberto Randegger, ].",Mrs. Mounsey Bartholomew,person,(Q4766585),given name,What is the given name of Mrs. Mounsey Bartholomew?,Ann
", Mrs. Mounsey Bartholomew, J. Barnby, H. Smart, G. A. Macfarren, Brinley Richard, H. S. Irons, Charles Salaman, Alberto Randegger, ].",H. Smart,person,(Q466189),given name,What is the given name of H. Smart?,Henry
", Mrs. Mounsey Bartholomew, J. Barnby, H. Smart, G. A. Macfarren, Brinley Richard, H. S. Irons, Charles Salaman, Alberto Randegger, ].",G. A. Macfarren,person,(Q1374708),given name,What is the given name of G. A. Macfarren?,Alexander; Q15921732
", Mrs. Mounsey Bartholomew, J. Barnby, H. Smart, G. A. Macfarren, Brinley Richard, H. S. Irons, Charles Salaman, Alberto Randegger, ].",Brinley Richard,person,(Q4850963),given name,What is the given name of Brinley Richard?,Henry
", Mrs. Mounsey Bartholomew, J. Barnby, H. Smart, G. A. Macfarren, Brinley Richard, H. S. Irons, Charles Salaman, Alberto Randegger, ].",Charles Salaman,person,(Q2959519),given name,What is the given name of Charles Salaman?,Charles
", Mrs. Mounsey Bartholomew, J. Barnby, H. Smart, G. A. Macfarren, Brinley Richard, H. S. Irons, Charles Salaman, Alberto Randegger, ].",Alberto Randegger,person,(Q4712167),given name,What is the given name of Alberto Randegger?,Alberto
Sontag left Francfort for Brussels on the Ist of December.,Sontag,person,(Q64098),given name,What is the given name of Sontag?,Henriette
"He was born in Naples, where he studied the rudiments of music under Alessandro Scarlatti and Nicolo Porpora.",Alessandro Scarlatti,person,(Q183087),given name,What is the given name of Alessandro Scarlatti?,Alessandro
"He was born in Naples, where he studied the rudiments of music under Alessandro Scarlatti and Nicolo Porpora.",Nicolo Porpora,person,(Q312788),given name,What is the given name of Nicolo Porpora?,Nicola
"Did not Mr. Hawes resist the Lord Chamberlain, in the case of Joseph and his Brethren?",Lord Chamberlain,person,(Q541755),given name,What is the given name of Lord Chamberlain?,William; Q15921732; Spencer
"Mr. Linley proposed stating on his. song, that my quartett had been composed first.",Mr. Linley,person,(Q5541748),given name,What is the given name of Mr. Linley?,Q15921732
"Grisi and her daughters, and the Marquis shook hands with his friends.",Grisi,person,(Q287344),given name,What is the given name of Grisi?,Giulia
"Compiled by John Dobson, and for the most part revised ot rearranged by H. J. Gauntlett, Mus.",H. J. Gauntlett,person,(Q11925412),given name,What is the given name of H. J. Gauntlett?,Henry; John
"Luigi Rossi, Arcangelo Corelli, t with other great Italian compesers and imitators of Lulli at Paris, returned to their country with clearer and more distinct ideas of harmony.",Luigi Rossi,person,(Q472714),given name,What is the given name of Luigi Rossi?,Luigi
"Luigi Rossi, Arcangelo Corelli, t with other great Italian compesers and imitators of Lulli at Paris, returned to their country with clearer and more distinct ideas of harmony.",Arcangelo Corelli,person,(Q164475),given name,What is the given name of Arcangelo Corelli?,Arcangelo
"Luigi Rossi, Arcangelo Corelli, t with other great Italian compesers and imitators of Lulli at Paris, returned to their country with clearer and more distinct ideas of harmony.",Lulli,person,(Q1192),given name,What is the given name of Lulli?,Jean-Baptiste
"Mr. W. Sterndale Bennett gave his second soirée on Monday evening, to a numerous, intelligent, and fashionable audience.",W. Sterndale Bennett,person,(Q201164),given name,What is the given name of W. Sterndale Bennett?,William
"A COLLECTION OF ORGAN PIECE, “COMPOSED BY CHARLES JOSEPH FROST.",CHARLES JOSEPH FROST,person,(Q94766323),given name,What is the given name of CHARLES JOSEPH FROST?,Charles
"A new opera has been produced here, entitled Temistocle, from the pen of Paccini.",Paccini,person,(Q357022),given name,What is the given name of Paccini?,Giovanni
"It is somewhat singular, that we find a passage exactly similar to one in Haydn’ s beautiful canzonet,",Haydn,person,(Q7349),given name,What is the given name of Haydn?,Joseph
"Some reproaches are addressed to him relative to his melodies, as well as different observations, which interest us no more than Some reproaches did Rossini himself.",Rossini,person,(Q9726),given name,What is the given name of Rossini?,Gioacchino
"Surely, then, the comparative share of Madame Pasta was not exorbitant, her comparative merit being considered; though, as I have before hinted, the positive sum, three hundred guineas, was at least double what would have been an ample compensation.",Madame Pasta,person,(Q240963),given name,What is the given name of Madame Pasta?,Q18191101
"The words are as simple as the melody, which however i is richly embellished by an arpeggio accompaniment, so varied as to de- mionstrate the fine taste of Mr. Bishop in such accompaniments.",Mr. Bishop,person,(Q1200639),given name,What is the given name of Mr. Bishop?,Henry; Rowley
"When given over by his physicians,: the Chevalier de Lorraine came to seehim.",Chevalier de Lorraine,person,(Q916954),given name,What is the given name of Chevalier de Lorraine?,Philippe
"His fugues are indeed ‘superior to those of Spohr, Schneider, Loewe",Spohr,person,(Q57226),given name,What is the given name of Spohr?,Louis
"His fugues are indeed ‘superior to those of Spohr, Schneider, Loewe",Schneider,person,(Q213906),given name,What is the given name of Schneider?,Friedrich
"His fugues are indeed ‘superior to those of Spohr, Schneider, Loewe",Loewe,person,(Q158899),given name,What is the given name of Loewe?,Carl; Johann; Gottfried
"Ferri, Matteucci, and Guadagni, were knighted; Farinelli was presented with the cross of Calatrava, in Spain, where, under his direction and management were revived, in theatrical spectacles, all the magnificence and good taste of ancient Athens.",Ferri,person,(Q804749),given name,What is the given name of Ferri?,Balthazar
"Ferri, Matteucci, and Guadagni, were knighted; Farinelli was presented with the cross of Calatrava, in Spain, where, under his direction and management were revived, in theatrical spectacles, all the magnificence and good taste of ancient Athens.",Guadagni,person,(Q3094278),given name,What is the given name of Guadagni?,Gaetano
"Ferri, Matteucci, and Guadagni, were knighted; Farinelli was presented with the cross of Calatrava, in Spain, where, under his direction and management were revived, in theatrical spectacles, all the magnificence and good taste of ancient Athens.",Farinelli,person,(Q223744),given name,What is the given name of Farinelli?,Carlo
"The season began with Madame Caradori and Mademoiselle Brambilla as principals, Signors Curioni, Pellegrini, and Porto. - Mr. A. Sapio also _ appeared, but only it should seem as an occasional assistant.",Madame Caradori,person,(Q16065895),given name,What is the given name of Madame Caradori?,Maria
"The season began with Madame Caradori and Mademoiselle Brambilla as principals, Signors Curioni, Pellegrini, and Porto. - Mr. A. Sapio also _ appeared, but only it should seem as an occasional assistant.",Mademoiselle Brambilla,person,(Q3847905),given name,What is the given name of Mademoiselle Brambilla?,Maria; Rebecca; Teresa; Marietta
"The season began with Madame Caradori and Mademoiselle Brambilla as principals, Signors Curioni, Pellegrini, and Porto. - Mr. A. Sapio also _ appeared, but only it should seem as an occasional assistant.",Signors Curioni,person,(Q87346693),given name,What is the given name of Signors Curioni?,Alberico
Who ever dreamed of’ an opera season coming to a close without hearing Rubini?,Rubini,person,(Q941040),given name,What is the given name of Rubini?,Giovanni; Battista
"18 Concerts at the Two Universities 18 On the Major and Minor Semitones, and on the Rev. Mr. Liston’s Organ.",Rev. Mr. Liston,person,(Q5724966),given name,What is the given name of Rev. Mr. Liston?,Henry
"A pleasing ballad, with fine melody, sung by Adelaide Phillips.",Adelaide Phillips,person,(Q4681758),given name,What is the given name of Adelaide Phillips?,Adelaide
Varesi has materially strengthened her position since her début in “Rigoletto” especially as the heroine in,Varesi,person,(Q102075928),given name,What is the given name of Varesi?,Elena
"Michel Richard Lalande, who married the daughter of Rebel, was also a composer and violinist of some fame..",Michel Richard Lalande,person,(Q312979),given name,What is the given name of Michel Richard Lalande?,Michel-Richard
"The vocalists thus honoured — Miss Edith Wynne, Madame Patey, Mr. Lloyd and Mr. Santley — have every reason to. congratulate themselves upon this.",Miss Edith Wynne,person,(Q7422270),given name,What is the given name of Miss Edith Wynne?,Sarah
"The vocalists thus honoured — Miss Edith Wynne, Madame Patey, Mr. Lloyd and Mr. Santley — have every reason to. congratulate themselves upon this.",Madame Patey,person,(Q6153509),given name,What is the given name of Madame Patey?,Janet
"The vocalists thus honoured — Miss Edith Wynne, Madame Patey, Mr. Lloyd and Mr. Santley — have every reason to. congratulate themselves upon this.",Mr. Lloyd,person,(Q5344187),given name,What is the given name of Mr. Lloyd?,Edward
"The vocalists thus honoured — Miss Edith Wynne, Madame Patey, Mr. Lloyd and Mr. Santley — have every reason to. congratulate themselves upon this.",Mr. Santley,person,(Q521746),given name,What is the given name of Mr. Santley?,Charles
"39 Improvements in Music Printing, Account of Mr. Cowper’s Lecture on,.",Mr. Cowper,person,(Q315537),given name,What is the given name of Mr. Cowper?,William
"The lithographed portrait of Sir W. Scott, in the title - page, is the best part of it.",Sir W. Scott,person,(Q79025),given name,What is the given name of Sir W. Scott?,Walter
"I played a concerto of Bach’s that’ had never been heard in England, and my own ‘C minor Concerto.",Bach,person,(Q1339),given name,What is the given name of Bach?,Sebastian; Johann
"In 1728, he ceded his privilege to M. Simard, who appointed M. Mouret the director of the music.",M. Mouret,person,(Q960766),given name,What is the given name of M. Mouret?,Jean-Joseph
"The want of suitable verses to the Scottish melodies was felt by Allan Ramsay, whose “Tea - table Miscellany,” published in 1724, was the first extensive collection of Scottish songs.",Allan Ramsay,person,(Q654775),given name,What is the given name of Allan Ramsay?,Allan
"We beg to be understood that we do not allude to Dr. Clarke Whitfield, whose respectability forbids the possibility of any such imputation.",Dr. Clarke Whitfield,person,(Q6226247),given name,What is the given name of Dr. Clarke Whitfield?,John
"This was crowded with the most eminent inhabitants of the city, and Mr. Moscheles’ performances were received with enthusiastic applause.",Mr. Moscheles,person,(Q159551),given name,What is the given name of Mr. Moscheles?,Ignaz
"Gehring Jean Guillaume became master of the Chapel of Rudolstadt, after the death.of Gebel.",Gebel,person,(Q472371),given name,What is the given name of Gebel?,Georg
"On the eve of going to press we have received intelligence of the death of Mr. T. M. Mudie, one of the pupils originally elected on the foundation of the Royal Academy of Music.",Mr. T. M. Mudie,person,(Q18577092),given name,What is the given name of Mr. T. M. Mudie?,Thomas
"performed at Her Majestvy’s Theatre, dedicated, by special permission, to Her Royal Highness the Duchess of Cambridge.",Her Royal Highness,person,(Q61328),given name,What is the given name of Her Royal Highness?,Charlotte; Elizabeth; Mary; Augusta; Sophia; Louise; Q16275172
"Baptiste Calkin, Boyton Smith, E. H. Thorne, W. G. Cusins, E. M. Delaborde, E. Silas, John Hullah, E. H. Turpin, Franz Nava, F. E. Gladstone, C. W. Lavington, J. E. Richardson, R. Forsey Brion, and J. Tilleard.",Baptiste Calkin,person,(Q1449465),given name,What is the given name of Baptiste Calkin?,John Baptiste
