sentence,span,type,uri,relation,question,gold CoC
"Now let our readers take the finale of any opera by Mozart, of the Fidelio by Beethoven, and compare it side by side with the finale by Wagner.",Beethoven,person,(Q255),country of citizenship,What is the country of citizenship of Beethoven?,Austrian Empire; Electorate of Cologne
"Now let our readers take the finale of any opera by Mozart, of the Fidelio by Beethoven, and compare it side by side with the finale by Wagner.",Wagner,person,(Q1511),country of citizenship,What is the country of citizenship of Wagner?,Kingdom of Saxony
"Cherubini never heard, any of the works Cherubini composed for Paris sung to his own pliant, beautiful and harmonious language.",Cherubini,person,(Q20721),country of citizenship,What is the country of citizenship of Cherubini?,France; United Kingdom; Grand Duchy of Tuscany
"Cherubini never heard, any of the works Cherubini composed for Paris sung to his own pliant, beautiful and harmonious language.",Cherubini,person,(Q20721),country of citizenship,What is the country of citizenship of Cherubini?,France; United Kingdom; Grand Duchy of Tuscany
"Jean Pierre Guignon was born at Turin, in 1702; but as he came to France whilst very young, and established himself there, we shall consider him as a French violinist.",Jean Pierre Guignon,person,(Q337573),country of citizenship,What is the country of citizenship of Jean Pierre Guignon?,Kingdom of France
"This, I understand, was the method pursued by _ M. Chelard, the. maestro at the German opera last season at the King’s Theatre.",M. Chelard,person,(Q924686),country of citizenship,What is the country of citizenship of M. Chelard?,France
De Begnis still occupies a place in the King’s Theatre.,De Begnis,person,(Q3770409),country of citizenship,What is the country of citizenship of De Begnis?,
"WE regret to have to announce the sudden death, from heart disease, of Dr. H. J. Gauntlett, on the a2ist ult.",Dr. H. J. Gauntlett,person,(Q11925412),country of citizenship,What is the country of citizenship of Dr. H. J. Gauntlett?,United Kingdom of Great Britain and Ireland
"Duet, ‘The streams that wind amid the hills,’ the Poetry by G. Darley, Esq.; the Music composed by Fanny Steers.",G. Darley,person,(Q1450149),country of citizenship,What is the country of citizenship of G. Darley?,Ireland
"Duet, ‘The streams that wind amid the hills,’ the Poetry by G. Darley, Esq.; the Music composed by Fanny Steers.",Fanny Steers,person,(Q104234927),country of citizenship,What is the country of citizenship of Fanny Steers?,
What has Mozart's portrait to do in the Memuirs of Rossini?,Mozart,person,(Q254),country of citizenship,What is the country of citizenship of Mozart?,Prince-Archbishopric of Salzburg
"But we will not praise Miss Rainforth over much, lest she, too, should become spoiled —",Miss Rainforth,person,(Q17355767),country of citizenship,What is the country of citizenship of Miss Rainforth?,
", Paer’s beautiful little duet, is better in its original form, than in that which is now given to it.",Paer,person,(Q533022),country of citizenship,What is the country of citizenship of Paer?,Duchy of Parma and Piacenza
"Of Handel's efforts in oratorio we had also a full account; those gigantic. works, written after he had passed his fifty - third year.",Handel,person,(Q7302),country of citizenship,What is the country of citizenship of Handel?,Holy Roman Empire; Brandenburg-Prussia; Kingdom of Great Britain
"Lord Bacon, Addison, Dr. Brown, Dugald Stewart, and many others,. are often betrayed into unconscious absurdities respecting musical effects by their ignorance of the science.",Lord Bacon,person,(Q37388),country of citizenship,What is the country of citizenship of Lord Bacon?,Kingdom of England
"Lord Bacon, Addison, Dr. Brown, Dugald Stewart, and many others,. are often betrayed into unconscious absurdities respecting musical effects by their ignorance of the science.",Addison,person,(Q206384),country of citizenship,What is the country of citizenship of Addison?,England
"Lord Bacon, Addison, Dr. Brown, Dugald Stewart, and many others,. are often betrayed into unconscious absurdities respecting musical effects by their ignorance of the science.",Dugald Stewart,person,(Q218254),country of citizenship,What is the country of citizenship of Dugald Stewart?,
"Sir W. Jones, in his Catalogue of Manuscripts, deposited in the library of the Royal Society, gives us the names of some treatises in the Hindustanee language, which of course have never been translated..",Sir W. Jones,person,(Q273969),country of citizenship,What is the country of citizenship of Sir W. Jones?,England; Kingdom of Great Britain
"This amusement seems to have had a great attraction for Mendelssohn, who often entered into the - fun of it with characteristic zest.",Mendelssohn,person,(Q46096),country of citizenship,What is the country of citizenship of Mendelssohn?,Hamburg; Kingdom of Saxony
"He quitted Parma, and returned to Tartini, with whom he studied ull the year 1769.",Tartini,person,(Q108555),country of citizenship,What is the country of citizenship of Tartini?,Republic of Venice
"Melange for the Piano Forte, from “Il Crociato in Egitto,” by Frederick Kalkbrenner.",Frederick Kalkbrenner,person,(Q170270),country of citizenship,What is the country of citizenship of Frederick Kalkbrenner?,Holy Roman Empire
", Mrs. Mounsey Bartholomew, J. Barnby, H. Smart, G. A. Macfarren, Brinley Richard, H. S. Irons, Charles Salaman, Alberto Randegger, ].",Mrs. Mounsey Bartholomew,person,(Q4766585),country of citizenship,What is the country of citizenship of Mrs. Mounsey Bartholomew?,United Kingdom of Great Britain and Ireland
", Mrs. Mounsey Bartholomew, J. Barnby, H. Smart, G. A. Macfarren, Brinley Richard, H. S. Irons, Charles Salaman, Alberto Randegger, ].",H. Smart,person,(Q466189),country of citizenship,What is the country of citizenship of H. Smart?,United Kingdom of Great Britain and Ireland
", Mrs. Mounsey Bartholomew, J. Barnby, H. Smart, G. A. Macfarren, Brinley Richard, H. S. Irons, Charles Salaman, Alberto Randegger, ].",G. A. Macfarren,person,(Q1374708),country of citizenship,What is the country of citizenship of G. A. Macfarren?,United Kingdom of Great Britain and Ireland
", Mrs. Mounsey Bartholomew, J. Barnby, H. Smart, G. A. Macfarren, Brinley Richard, H. S. Irons, Charles Salaman, Alberto Randegger, ].",Brinley Richard,person,(Q4850963),country of citizenship,What is the country of citizenship of Brinley Richard?,Wales; United Kingdom of Great Britain and Ireland
", Mrs. Mounsey Bartholomew, J. Barnby, H. Smart, G. A. Macfarren, Brinley Richard, H. S. Irons, Charles Salaman, Alberto Randegger, ].",Charles Salaman,person,(Q2959519),country of citizenship,What is the country of citizenship of Charles Salaman?,United Kingdom of Great Britain and Ireland
", Mrs. Mounsey Bartholomew, J. Barnby, H. Smart, G. A. Macfarren, Brinley Richard, H. S. Irons, Charles Salaman, Alberto Randegger, ].",Alberto Randegger,person,(Q4712167),country of citizenship,What is the country of citizenship of Alberto Randegger?,Kingdom of Italy
Sontag left Francfort for Brussels on the Ist of December.,Sontag,person,(Q64098),country of citizenship,What is the country of citizenship of Sontag?,Kingdom of Prussia
"He was born in Naples, where he studied the rudiments of music under Alessandro Scarlatti and Nicolo Porpora.",Alessandro Scarlatti,person,(Q183087),country of citizenship,What is the country of citizenship of Alessandro Scarlatti?,
"He was born in Naples, where he studied the rudiments of music under Alessandro Scarlatti and Nicolo Porpora.",Nicolo Porpora,person,(Q312788),country of citizenship,What is the country of citizenship of Nicolo Porpora?,Kingdom of Naples
"Did not Mr. Hawes resist the Lord Chamberlain, in the case of Joseph and his Brethren?",Lord Chamberlain,person,(Q541755),country of citizenship,What is the country of citizenship of Lord Chamberlain?,United Kingdom of Great Britain and Ireland
"Mr. Linley proposed stating on his. song, that my quartett had been composed first.",Mr. Linley,person,(Q5541748),country of citizenship,What is the country of citizenship of Mr. Linley?,Kingdom of Great Britain; United Kingdom of Great Britain and Ireland
"Grisi and her daughters, and the Marquis shook hands with his friends.",Grisi,person,(Q287344),country of citizenship,What is the country of citizenship of Grisi?,Kingdom of Italy
"Compiled by John Dobson, and for the most part revised ot rearranged by H. J. Gauntlett, Mus.",H. J. Gauntlett,person,(Q11925412),country of citizenship,What is the country of citizenship of H. J. Gauntlett?,United Kingdom of Great Britain and Ireland
"Luigi Rossi, Arcangelo Corelli, t with other great Italian compesers and imitators of Lulli at Paris, returned to their country with clearer and more distinct ideas of harmony.",Luigi Rossi,person,(Q472714),country of citizenship,What is the country of citizenship of Luigi Rossi?,Switzerland
"Luigi Rossi, Arcangelo Corelli, t with other great Italian compesers and imitators of Lulli at Paris, returned to their country with clearer and more distinct ideas of harmony.",Arcangelo Corelli,person,(Q164475),country of citizenship,What is the country of citizenship of Arcangelo Corelli?,Papal States
"Luigi Rossi, Arcangelo Corelli, t with other great Italian compesers and imitators of Lulli at Paris, returned to their country with clearer and more distinct ideas of harmony.",Lulli,person,(Q1192),country of citizenship,What is the country of citizenship of Lulli?,Kingdom of France; Grand Duchy of Tuscany
"Mr. W. Sterndale Bennett gave his second soirée on Monday evening, to a numerous, intelligent, and fashionable audience.",W. Sterndale Bennett,person,(Q201164),country of citizenship,What is the country of citizenship of W. Sterndale Bennett?,United Kingdom of Great Britain and Ireland
"A COLLECTION OF ORGAN PIECE, “COMPOSED BY CHARLES JOSEPH FROST.",CHARLES JOSEPH FROST,person,(Q94766323),country of citizenship,What is the country of citizenship of CHARLES JOSEPH FROST?,
"A new opera has been produced here, entitled Temistocle, from the pen of Paccini.",Paccini,person,(Q357022),country of citizenship,What is the country of citizenship of Paccini?,Kingdom of Italy
"It is somewhat singular, that we find a passage exactly similar to one in Haydn’ s beautiful canzonet,",Haydn,person,(Q7349),country of citizenship,What is the country of citizenship of Haydn?,Holy Roman Empire
"Some reproaches are addressed to him relative to his melodies, as well as different observations, which interest us no more than Some reproaches did Rossini himself.",Rossini,person,(Q9726),country of citizenship,What is the country of citizenship of Rossini?,Papal States; Kingdom of Italy
"Surely, then, the comparative share of Madame Pasta was not exorbitant, her comparative merit being considered; though, as I have before hinted, the positive sum, three hundred guineas, was at least double what would have been an ample compensation.",Madame Pasta,person,(Q240963),country of citizenship,What is the country of citizenship of Madame Pasta?,Kingdom of Italy; Kingdom of Lombardy–Venetia; Cisalpine Republic; Kingdom of Italy; Italian Republic
"The words are as simple as the melody, which however i is richly embellished by an arpeggio accompaniment, so varied as to de- mionstrate the fine taste of Mr. Bishop in such accompaniments.",Mr. Bishop,person,(Q1200639),country of citizenship,What is the country of citizenship of Mr. Bishop?,Kingdom of Great Britain; United Kingdom of Great Britain and Ireland
